,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
accidente peaton lesionado,0.8193782715118176,0.3930866246123253,0.2712560818745838,-0.031758266201301615,-0.11132456280340185,0.02207598382984975
accidentes laborales,-0.03697741599650596,0.013283018815460276,0.00066741065449802,0.8552997027326943,0.005743772149440006,0.0363706091516059
accidentes vehiculos motor,0.8044263791475866,0.12759498640195788,0.5372548865728239,-0.017903882606085372,0.09472971952503606,0.004436305198072175
alcoholismo,-0.024872683071407123,0.008299972058262214,-0.0037829868860234823,0.7807540086988052,-0.026834337206275375,-0.08989254310538515
amebiasis intestinal,0.6239961807390018,0.7372549000536213,0.022715267019184904,-0.03108933836097097,-0.13037451328343116,0.12297634403312985
amibiano absceso hepatico,0.01734949795228359,0.9242727036191619,0.19368761360721604,0.11340756755099661,0.07297342513753982,0.07730990715715169
anencefalia,0.6841015120704677,0.6082882608075871,0.14793019607995234,-0.017717276556066728,-0.102507896094039,0.05097968195335587
arterial hipertension,0.8893549681983166,0.262746993021288,0.34783778593763454,0.023185205754732464,0.03881771238818347,0.06793105414087863
artritis reumatoide,-0.06229113250074816,0.03695488817871186,-0.00459798470181803,0.6850857622021662,0.04000733004018954,0.2538354363767247
ascariasis,0.5457715003827006,0.7461982440729443,0.00397778457485207,0.10685984990180811,-0.08157535242672062,0.20191933887110192
asma,0.891327310078652,0.308060832258006,0.28320101862013686,-0.019354804475619526,0.07433078111248007,0.01622141012445235
blando chancro,0.8166500835336652,0.3929354717636517,0.30566772956711186,0.0037539075775504718,0.0025954469640112623,0.17996781904935322
bocio,0.47560606406004713,0.493439729409319,0.31129137250897826,0.30958967501358087,-0.021011818990587326,0.1866566688203599
brucelosis,0.8165872367552832,0.3610290941222049,0.22450404426033166,0.10584186935744876,0.11998498121810205,-0.041827988305112626
cancer cervico-uterino,0.8627942132258014,0.3446379061112837,0.3021354589094811,0.0482787618457089,0.039969499379618495,0.08656685768657721
cancer mama,0.7096978869740613,0.07280753586938277,0.6377554762889522,-0.013607820841324654,0.13100401089318753,-0.011651850219162917
